出発地,バス停名,出発時,出発分,運賃
&#9733,イオン前沢,17,20,
,前沢保育所前,17,22,170
,母体口,17,23,170
,二十人町,17,24,170
,前沢新町,17,25,170
,七日町,17,25,170
,三日町,17,26,170
,丁切,17,28,280
,塔ヶ崎,17,29,330
,白鳥,17,30,330
,徳沢,17,32,350
,瀬原,17,34,350
,衣川橋,17,36,350
,中尊寺,17,38,370
,花舘,17,39,400
,鈴沢,17,40,400
,平泉駅前,17,42,410
,毛越寺,17,44,410
,祇園,17,46,430
,佐野,17,47,450
,川屋敷,17,48,450
,大佐,17,49,480
,中里新町,17,50,480
,沢田入口,17,51,480
,山目駅前,17,51,510
,中里市民センター前,17,52,510
,山目一丁目,17,53,510
,配志和神社前,17,54,530
,竹山,17,55,530
,一関一高前,17,58,530
,大町角,17,59,570
,大町通り,18,0,570
,一関駅前,18,2,570
