出発地,バス停名,出発時,出発分,運賃
&#9733,イオン前沢,12,30,
,前沢保育所前,12,32,170
,母体口,12,33,170
,二十人町,12,34,170
,前沢新町,12,35,170
,七日町,12,35,170
,三日町,12,36,170
,丁切,12,38,280
,塔ヶ崎,12,39,330
,白鳥,12,40,330
,徳沢,12,42,350
,瀬原,12,44,350
,衣川橋,12,46,350
,中尊寺,12,48,370
,花舘,12,49,400
,鈴沢,12,50,400
,平泉駅前,12,52,410
,毛越寺,12,54,410
,祇園,12,56,430
,佐野,12,57,450
,川屋敷,12,58,450
,大佐,12,59,480
,中里新町,13,0,480
,沢田入口,13,1,480
,山目駅前,13,1,510
,中里市民センター前,13,2,510
,山目一丁目,13,3,510
,配志和神社前,13,4,530
,竹山,13,5,530
,一関一高前,13,8,530
,大町角,13,9,570
,大町通り,13,10,570
,一関駅前,13,12,570
