出発地,バス停名,出発時,出発分,運賃
&#9733,イオン前沢,14,20,
,前沢保育所前,14,22,170
,母体口,14,23,170
,二十人町,14,24,170
,前沢新町,14,25,170
,七日町,14,25,170
,三日町,14,26,170
,丁切,14,28,280
,塔ヶ崎,14,29,330
,白鳥,14,30,330
,徳沢,14,32,350
,瀬原,14,34,350
,衣川橋,14,36,350
,中尊寺,14,38,370
,花舘,14,39,400
,鈴沢,14,40,400
,平泉駅前,14,42,410
,毛越寺,14,44,410
,祇園,14,46,430
,佐野,14,47,450
,川屋敷,14,48,450
,大佐,14,49,480
,中里新町,14,50,480
,沢田入口,14,51,480
,山目駅前,14,51,510
,中里市民センター前,14,52,510
,山目一丁目,14,53,510
,配志和神社前,14,54,530
,竹山,14,55,530
,一関一高前,14,58,530
,大町角,14,59,570
,大町通り,15,0,570
,一関駅前,15,2,570
