出発地,バス停名,出発時,出発分,運賃
&#9733,母体口,17,23,
,二十人町,17,24,170
,前沢新町,17,25,170
,七日町,17,25,170
,三日町,17,26,170
,丁切,17,28,220
,塔ヶ崎,17,29,270
,白鳥,17,30,270
,徳沢,17,32,340
,瀬原,17,34,350
,衣川橋,17,36,350
,中尊寺,17,38,350
,花舘,17,39,370
,鈴沢,17,40,370
,平泉駅前,17,42,380
,毛越寺,17,44,380
,祇園,17,46,410
,佐野,17,47,440
,川屋敷,17,48,440
,大佐,17,49,460
,中里新町,17,50,460
,沢田入口,17,51,460
,山目駅前,17,51,480
,中里市民センター前,17,52,480
,山目一丁目,17,53,480
,配志和神社前,17,54,510
,竹山,17,55,510
,一関一高前,17,58,510
,大町角,17,59,550
,大町通り,18,0,550
,一関駅前,18,2,550
