出発地,バス停名,出発時,出発分,運賃
&#9733,佐野,7,30,
,祇園,7,31,170
,毛越寺,7,33,250
,平泉駅前,7,35,250
,鈴沢,7,37,280
,花舘,7,38,330
,中尊寺,7,39,330
,衣川橋,7,41,340
,瀬原,7,43,340
