出発地,バス停名,出発時,出発分,運賃
&#9733,祇園,11,17,
,佐野,11,18,170
,川屋敷,11,19,170
,大佐,11,20,270
,中里新町,11,21,270
,沢田入口,11,22,270
,山目駅前,11,22,320
,中里市民センター前,11,23,320
,山目一丁目,11,24,320
,配志和神社前,11,25,340
,竹山,11,26,340
,一関一高前,11,29,340
,大町角,11,30,350
,大町通り,11,31,350
,一関駅前,11,33,350
