出発地,バス停名,出発時,出発分,運賃
&#9733,中里市民センター前,13,35,
,山目駅前,13,36,170
,沢田入口,13,36,170
,中里新町,13,37,170
,大佐,13,38,250
,川屋敷,13,39,250
,佐野,13,40,320
,祇園,13,41,320
,毛越寺,13,43,340
,平泉駅前,13,45,340
,鈴沢,13,47,350
,花舘,13,48,350
,中尊寺,13,49,350
,衣川橋,13,51,350
,瀬原,13,53,370
,徳沢,13,55,390
,白鳥,13,57,430
,塔ヶ崎,13,58,450
,丁切,13,59,450
,三日町,14,1,460
,七日町,14,2,460
,前沢新町,14,2,470
,二十人町,14,3,470
,母体口,14,4,480
,前沢保育所前,14,5,490
,イオン前沢,14,8,510
