出発地,バス停名,出発時,出発分,運賃
&#9733,前沢保育所前,8,47,
,母体口,8,48,170
,二十人町,8,49,170
,前沢新町,8,50,170
,七日町,8,50,170
,三日町,8,51,170
,丁切,8,53,230
,塔ヶ崎,8,54,280
,白鳥,8,55,280
,徳沢,8,57,340
,瀬原,8,59,350
,衣川橋,9,1,350
,中尊寺,9,3,360
,花舘,9,4,380
,鈴沢,9,5,380
,平泉駅前,9,7,390
,毛越寺,9,9,390
,祇園,9,11,420
,佐野,9,12,450
,川屋敷,9,13,450
,大佐,9,14,470
,中里新町,9,15,470
,沢田入口,9,16,470
,山目駅前,9,16,490
,中里市民センター前,9,17,490
,山目一丁目,9,18,490
,配志和神社前,9,19,520
,竹山,9,20,520
,一関一高前,9,23,520
,大町角,9,24,560
,大町通り,9,25,560
,一関駅前,9,27,560
