出発地,バス停名,出発時,出発分,運賃
&#9733,徳沢,8,57,
,瀬原,8,59,170
,衣川橋,9,1,220
,中尊寺,9,3,280
,花舘,9,4,330
,鈴沢,9,5,330
,平泉駅前,9,7,340
,毛越寺,9,9,340
,祇園,9,11,340
,佐野,9,12,350
,川屋敷,9,13,350
,大佐,9,14,370
,中里新町,9,15,370
,沢田入口,9,16,370
,山目駅前,9,16,390
,中里市民センター前,9,17,390
,山目一丁目,9,18,390
,配志和神社前,9,19,420
,竹山,9,20,420
,一関一高前,9,23,420
,大町角,9,24,450
,大町通り,9,25,450
,一関駅前,9,27,450
