出発地,バス停名,出発時,出発分,運賃
&#9733,平泉駅前,12,58,
,鈴沢,13,0,170
,花舘,13,1,170
,中尊寺,13,2,170
,衣川橋,13,4,250
,瀬原,13,6,310
