出発地,バス停名,出発時,出発分,運賃
&#9733,配志和神社前,16,33,
,山目一丁目,16,34,170
,中里市民センター前,16,35,170
,山目駅前,16,36,230
,沢田入口,16,36,230
,中里新町,16,37,230
,大佐,16,38,310
,川屋敷,16,39,310
,佐野,16,40,340
,祇園,16,41,340
,毛越寺,16,43,350
,平泉駅前,16,45,350
,鈴沢,16,47,350
,花舘,16,48,350
,中尊寺,16,49,350
,衣川橋,16,51,370
,瀬原,16,53,400
,徳沢,16,55,420
,白鳥,16,57,450
,塔ヶ崎,16,58,470
,丁切,16,59,470
,三日町,17,1,490
,七日町,17,2,490
,前沢新町,17,2,500
,二十人町,17,3,500
,母体口,17,4,510
,前沢保育所前,17,5,520
,イオン前沢,17,8,530
