出発地,バス停名,出発時,出発分,運賃
&#9733,平泉駅前,13,45,
,鈴沢,13,47,170
,花舘,13,48,170
,中尊寺,13,49,170
,衣川橋,13,51,250
,瀬原,13,53,310
,徳沢,13,55,340
,白鳥,13,57,350
,塔ヶ崎,13,58,350
,丁切,13,59,350
,三日町,14,1,350
,七日町,14,2,350
,前沢新町,14,2,370
,二十人町,14,3,370
,母体口,14,4,380
,前沢保育所前,14,5,390
,イオン前沢,14,8,410
