出発地,バス停名,出発時,出発分,運賃
&#9733,一関駅前 10番のりば,7,15,
,大町通り,7,17,170
,大町角,7,18,170
,一関一校前,7,19,170
,磐井橋,7,20,170
,竹山,7,22,170
,配志和神社前,7,23,250
,山目一丁目,7,24,250
,中里市民センター前,7,25,250
,山目駅前,7,26,320
,沢田入口,7,26,320
,中里新町,7,27,320
,大佐,7,28,340
,川屋敷,7,29,340
,佐野,7,30,350
,祇園,7,31,350
,毛越寺,7,33,350
,平泉駅前,7,35,350
,鈴沢,7,37,370
,花館,7,38,390
,中尊寺,7,39,390
,衣川橋,7,41,410
,瀬原,7,43,440
