出発地,バス停名,出発時,出発分,運賃
&#9733,川屋敷,12,58,
,大佐,12,59,170
,中里新町,13,0,170
,沢田入口,13,1,170
,山目駅前,13,1,250
,中里市民センター前,13,2,250
,山目一丁目,13,3,250
,配志和神社前,13,4,310
,竹山,13,5,310
,一関一高前,13,8,310
,大町角,13,9,340
,大町通り,13,10,340
,一関駅前,13,12,340
