l,バス停名,出発時,出発分,運賃
&#9733,二十人町,8,49,
,前沢新町,8,50,170
,七日町,8,50,170
,三日町,8,51,170
,丁切,8,53,180
,塔ヶ崎,8,54,250
,白鳥,8,55,250
,徳沢,8,57,330
,瀬原,8,59,340
,衣川橋,9,1,350
,中尊寺,9,3,350
,花舘,9,4,360
,鈴沢,9,5,360
,平泉駅前,9,7,370
,毛越寺,9,9,370
,祇園,9,11,400
,佐野,9,12,430
,川屋敷,9,13,430
,大佐,9,14,450
,中里新町,9,15,450
,沢田入口,9,16,450
,山目駅前,9,16,470
,中里市民センター前,9,17,470
,山目一丁目,9,18,470
,配志和神社前,9,19,500
,竹山,9,20,500
,一関一高前,9,23,500
,大町角,9,24,540
,大町通り,9,25,540
,一関駅前,9,27,540
