出発地,バス停名,出発時,出発分,運賃
&#9733,"大佐""",7,28,
,川屋敷,7,29,170
,佐野,7,30,270
,祇園,7,31,270
,毛越寺,7,33,320
,平泉駅前,7,35,320
,鈴沢,7,37,340
,花舘,7,38,350
,中尊寺,7,39,350
,衣川橋,7,41,350
,瀬原,7,43,350
