出発地,バス停名,出発時,出発分,運賃
&#9733,徳沢,8,20,
,白鳥,8,22,170
,塔ヶ崎,8,23,250
,丁切,8,24,250
,三日町,8,26,300
,七日町,8,27,300
,前沢新町,8,27,330
,二十人町,8,28,330
,母体口,8,29,340
,前沢保育所前,8,30,340
,イオン前沢,8,33,350
