出発地,バス停名,出発時,出発分,運賃
&#9733,中里市民センター前,18,35,
,山目駅前,18,36,170
,沢田入口,18,36,170
,中里新町,18,37,170
,大佐,18,38,250
,川屋敷,18,39,250
,佐野,18,40,320
,祇園,18,41,320
,毛越寺,18,43,340
,平泉駅前,18,45,340
,鈴沢,18,47,350
,花舘,18,48,350
,中尊寺,18,49,350
,衣川橋,18,51,350
,瀬原,18,53,370
