出発地,バス停名,出発時,出発分,運賃
&#9733,鈴沢,11,57,
,花館,11,58,
,中尊寺,11,59,
,衣川橋,12,1,
,瀬原,12,3,
,徳沢,12,5,
,白鳥,12,7,
,塔ヶ先,12,8,
,丁切,12,8,
,三日町,12,11,
,七日町,12,12,
,前沢新町,12,12,
,二十人町,12,13,
,母体口,12,14,
,前沢保育所前,12,15,
,イオン前沢,12,16,
