出発地,バス停名,出発時,出発分,運賃
&#9733,沢田入口,18,36,
,中里新町,18,37,170
,大佐,18,38,170
,川屋敷,18,39,170
,佐野,18,40,270
,祇園,18,41,270
,毛越寺,18,43,320
,平泉駅前,18,45,320
,鈴沢,18,47,340
,花舘,18,48,350
,中尊寺,18,49,350
,衣川橋,18,51,350
,瀬原,18,53,350
