出発地,バス停名,出発時,出発分,運賃
&#9733,鈴沢,9,5,
,平泉駅前,9,7,
,毛越寺,9,9,
,祇園,9,11,
,佐野,9,12,
,川屋敷,9,13,
,大佐,9,14,
,中里新町,9,15,
,沢田入口,9,16,
,山目駅前,9,16,
,中里市民センター前,9,17,
,山目一丁目,9,18,
,配志和神社前,9,19,
,竹山,9,20,
,一関一高前,9,23,
,大町角,9,24,
,大町通り,9,25,
,一関駅前,9,27,
