出発地,バス停名,出発時,出発分,運賃
&#9733,丁切,16,59,
,三日町,17,1,170
,七日町,17,2,170
,前沢新町,17,2,180
,二十人町,17,3,180
,母体口,17,4,220
,前沢保育所前,17,5,230
,イオン前沢,17,6,280
